product_id,category_id
515,26
755,8
683,16
65,17
650,9
227,12
902,12
413,24
32,4
611,17
89,1
951,6
541,5
565,10
341,10
872,5
822,10
791,23
589,5
45,11
535,12
945,21
374,18
26,1
58,3
301,14
987,29
296,19
639,18
78,30
751,9
155,2
373,21
788,10
46,12
545,25
597,17
795,15
904,17
635,6
269,5
723,4
426,5
925,20
95,8
763,11
778,26
439,1
300,5
28,17
137,27
988,11
568,12
33,27
111,20
764,16
611,18
4,8
153,26
462,9
922,17
108,24
673,18
200,9
256,15
755,9
747,5
307,24
499,17
767,19
564,16
361,5
993,22
922,1
553,28
812,29
722,29
195,1
87,3
472,24
214,4
991,26
257,5
330,29
392,7
524,30
822,13
190,24
629,26
320,6
442,18
365,13
437,18
52,2
240,25
569,26
460,17
144,9
490,16
184,5
863,23
52,9
642,10
753,13
981,23
982,26
428,5
244,23
804,11
386,22
350,24
834,7
228,20
690,18
801,16
250,10
255,3
404,9
18,8
8,9
268,20
638,14
337,4
797,27
338,14
570,18
65,25
176,16
988,24
977,5
76,23
117,14
337,6
800,27
189,8
697,5
190,14
512,16
863,26
759,10
323,27
924,14
289,20
836,18
751,6
385,8
37,21
921,23
855,6
49,13
401,7
795,17
772,22
386,6
264,20
988,26
849,7
49,30
701,5
969,30
981,4
109,26
402,17
670,11
899,12
305,26
244,11
349,13
634,10
542,22
338,6
956,9
469,3
662,14
5,20
934,3
292,1
710,12
913,7
15,3
149,2
4,20
858,24
166,23
486,16
907,29
456,3
457,2
480,16
58,15
257,5
471,22
964,27
602,26
423,23
750,6
317,19
971,3
906,2
884,1
771,4
681,23
344,19
11,26
341,8
162,15
777,30
747,27
677,17
740,17
164,9
441,16
603,11
251,7
483,23
55,27
749,26
157,4
928,8
730,30
53,27
286,13
576,22
608,13
614,8
994,4
361,1
161,2
380,6
792,19
690,21
269,4
842,30
8,3
224,26
473,6
814,19
224,1
485,5
134,23
484,23
484,23
188,8
974,13
609,15
471,25
926,8
449,15
179,12
178,11
724,30
237,7
603,3
269,11
167,23
875,25
478,14
543,1
296,26
888,24
189,27
537,20
959,14
701,24
728,6
968,3
948,30
314,10
940,30
293,26
444,17
183,11
384,14
198,20
941,21
284,27
713,25
576,8
292,25
587,30
163,5
753,28
780,30
750,5
853,6
607,25
447,10
935,25
10,17
940,6
936,11
798,1
233,2
966,29
443,14
316,10
165,27
121,3
901,7
42,29
856,20
468,30
917,24
456,7
159,3
619,23
238,7
186,7
710,20
820,2
845,29
513,27
311,7
790,23
888,10
895,24
125,1
623,3
883,28
492,10
814,29
338,22
969,12
624,21
767,11
438,22
656,20
108,11
180,13
50,7
676,26
209,27
415,25
208,26
621,29
974,11
367,25
871,12
770,22
470,27
950,2
365,10
606,16
244,12
615,12
541,23
266,4
81,14
182,3
482,5
628,16
969,19
256,2
939,2
930,30
909,29
808,25
415,19
244,29
666,6
799,30
913,23
237,18
519,16
759,18
378,27
251,5
478,24
684,22
623,15
2,13
569,13
50,11
22,9
60,10
348,16
402,4
68,13
310,15
55,6
581,4
157,26
927,16
851,7
473,6
682,2
338,8
214,11
525,20
84,2
602,9
772,6
795,15
128,29
997,19
317,7
475,11
851,28
718,23
498,17
11,1
673,12
503,27
953,3
697,6
478,15
300,11
443,23
965,21
605,12
731,21
24,3
202,5
266,16
883,7
592,17
165,21
506,21
113,3
803,8
3,16
19,16
738,30
426,25
286,16
958,21
466,1
207,15
276,14
876,27
575,25
474,30
325,10
594,22
548,25
578,12
535,1
36,28
735,11
386,3
960,16
292,19
920,13
534,6
211,18
900,10
768,20
148,29
469,11
275,7
267,15
653,2
228,23
667,28
763,21
6,21
308,14
406,10
699,26
769,26
901,30
413,11
688,20
164,1
228,13
12,23
728,17
529,14
75,8
511,24
457,19
286,1
871,30
944,26
846,23
718,18
174,11
573,25
709,16
603,7
87,10
843,27
250,22
702,27
935,27
598,12
86,29
321,6
188,5
797,28
671,24
873,13
120,1
319,21
43,14
513,29
451,4
182,13
650,12
805,17
929,13
719,27
535,18
222,20
294,26
913,13
666,3
724,26
683,28
963,23
31,22
655,12
377,18
522,29
603,2
489,11
125,5
986,6
848,26
734,7
554,23
263,21
826,2
440,9
917,24
681,8
545,24
590,10
185,18
178,5
885,21
291,28
163,6
671,26
181,22
894,7
822,21
546,18
40,3
43,18
6,30
922,17
177,21
822,27
906,23
609,30
613,13
165,22
804,29
684,6
686,24
809,9
930,30
475,19
682,13
343,14
700,14
427,22
33,23
474,10
682,14
580,30
753,20
769,12
972,17
912,5
471,12
621,3
947,20
803,8
501,21
855,2
561,13
164,7
59,18
899,3
816,12
235,13
436,7
638,6
374,15
273,10
251,13
673,2
373,23
420,25
586,16
602,20
305,24
88,8
288,5
147,11
265,14
731,8
310,23
965,7
423,24
286,8
273,23
822,14
16,11
881,4
831,26
916,17
458,20
402,28
839,13
64,20
611,7
515,16
649,2
575,13
845,5
996,1
412,18
98,22
903,11
745,13
729,9
653,9
208,19
531,9
782,17
866,16
814,3
619,4
423,19
876,17
573,29
403,4
974,2
169,13
131,26
397,6
354,27
387,2
290,3
134,22
177,15
242,16
49,2
667,14
306,24
509,25
528,19
45,18
954,8
820,26
696,25
154,29
390,6
988,23
336,6
510,30
45,10
424,25
854,17
779,13
895,7
960,13
531,22
710,19
699,14
632,5
637,24
203,23
816,29
106,9
837,22
971,2
554,16
855,27
196,7
367,17
328,14
924,20
930,25
500,24
84,19
714,25
697,8
845,22
669,28
929,4
679,29
979,20
242,7
792,12
937,22
772,4
855,9
337,20
179,27
5,25
190,6
465,9
240,28
885,21
740,12
952,11
204,22
643,15
764,29
231,26
91,6
238,5
774,15
454,17
79,20
108,21
375,3
152,22
188,30
149,19
460,1
803,24
4,5
693,17
984,1
266,4
471,2
838,28
232,15
744,27
847,26
306,26
605,26
173,15
33,11
790,22
851,15
470,28
876,6
633,7
595,8
733,22
811,8
129,11
872,25
275,7
159,7
600,20
123,24
26,2
347,27
133,12
526,9
491,12
526,14
899,22
50,23
539,25
595,5
710,18
659,19
456,25
763,27
826,3
745,10
126,21
231,18
871,17
266,22
310,22
968,3
922,8
156,9
896,23
355,7
251,19
820,12
832,20
355,7
452,9
656,20
102,6
919,26
517,14
808,8
797,24
342,23
63,22
548,3
138,20
999,25
687,18
417,10
214,8
63,20
27,3
670,16
121,30
990,20
922,5
176,15
498,20
222,1
394,17
686,8
208,2
325,9
633,5
87,17
603,6
907,26
688,26
59,21
563,12
334,11
143,14
273,4
218,24
461,29
809,2
373,8
906,4
261,28
535,27
513,26
698,1
106,18
915,9
521,20
375,18
40,22
947,22
542,20
232,22
629,8
419,17
589,4
600,9
431,8
848,8
469,25
993,8
484,28
622,7
840,5
416,13
153,15
530,18
537,24
410,19
607,11
45,10
427,7
443,9
11,28
121,8
776,18
861,16
722,23
222,3
646,17
511,20
423,27
496,26
936,9
324,4
452,14
506,28
741,28
287,3
518,11
931,10
161,1
240,16
317,7
815,2
129,12
171,26
252,2
884,22
671,30
978,19
638,18
218,28
876,27
267,10
26,23
629,12
947,21
604,21
255,17
565,4
697,10
318,13
711,9
629,9
884,11
663,18
429,27
252,5
713,27
93,16
864,25
410,24
344,13
243,1
460,14
903,3
208,20
16,4
544,15
886,9
661,22
506,11
956,30
167,4
418,25
92,20
781,24
848,27
556,7
260,5
612,6
705,21
929,22
445,5
305,24
708,4
109,13
683,21
774,24
155,1
498,15
326,5
70,11
435,14
257,7
381,23
994,5
587,19
945,21
479,7
841,13
898,2
875,28
538,29
884,29
44,24
60,4
434,16
153,8
518,14
671,27
282,2
487,26
775,8
237,23
428,27
57,3
590,24
996,30
3,7
229,21
474,8
181,22
814,13
925,17
24,12
858,1
650,11
601,18
965,14
655,19
56,26
386,18
925,21
651,8
992,29
698,9
276,18
379,25
719,2
266,9
12,19
473,4
974,22
87,27
191,1
360,25
562,9
338,2
715,4
488,23
190,20
767,18
55,11
964,4
532,9
101,1
602,10
730,1
892,14
807,20
531,9
257,3
735,28
