product,quantity
1,132
2,92
3,14
4,117
5,246
6,146
7,156
8,100
9,294
10,11
11,120
12,158
13,269
14,254
15,272
16,94
17,169
18,96
19,209
20,14
21,138
22,262
23,38
24,203
25,254
26,151
27,120
28,149
29,221
30,69
31,15
32,19
33,249
34,298
35,128
36,103
37,110
38,110
39,283
40,244
41,279
42,13
43,150
44,92
45,67
46,294
47,25
48,182
49,212
50,29
51,196
52,254
53,10
54,99
55,136
56,264
57,273
58,225
59,32
60,230
61,259
62,258
63,172
64,233
65,274
66,53
67,259
68,101
69,119
70,4
71,259
72,271
73,277
74,127
75,91
76,200
77,71
78,126
79,255
80,206
81,191
82,168
83,124
84,283
85,221
86,62
87,54
88,4
89,59
90,212
91,219
92,219
93,169
94,98
95,193
96,300
97,244
98,114
99,105
100,12
101,291
102,66
103,276
104,159
105,117
106,27
107,256
108,173
109,107
110,181
111,85
112,270
113,246
114,109
115,211
116,215
117,212
118,97
119,184
120,288
121,168
122,138
123,67
124,134
125,195
126,272
127,75
128,39
129,227
130,182
131,253
132,31
133,42
134,100
135,163
136,224
137,124
138,156
139,151
140,256
141,11
142,153
143,62
144,95
145,87
146,24
147,90
148,31
149,76
150,223
151,74
152,67
153,284
154,14
155,116
156,290
157,26
158,251
159,143
160,54
161,128
162,239
163,122
164,179
165,59
166,115
167,284
168,86
169,268
170,61
171,263
172,283
173,244
174,152
175,79
176,206
177,77
178,121
179,158
180,189
181,200
182,107
183,26
184,219
185,86
186,228
187,228
188,276
189,92
190,196
191,263
192,103
193,132
194,298
195,128
196,274
197,297
198,154
199,18
200,44
201,238
202,171
203,272
204,129
205,126
206,235
207,275
208,101
209,36
210,165
211,88
212,56
213,135
214,228
215,6
216,281
217,270
218,24
219,59
220,253
221,271
222,228
223,111
224,95
225,120
226,158
227,77
228,29
229,166
230,76
231,112
232,2
233,256
234,299
235,273
236,84
237,116
238,124
239,246
240,274
241,231
242,174
243,284
244,243
245,145
246,147
247,216
248,119
249,300
250,160
251,145
252,279
253,138
254,225
255,147
256,174
257,227
258,48
259,103
260,95
261,27
262,194
263,147
264,93
265,249
266,199
267,251
268,129
269,264
270,98
271,256
272,104
273,88
274,295
275,281
276,240
277,106
278,214
279,180
280,24
281,260
282,112
283,125
284,109
285,236
286,244
287,142
288,167
289,123
290,17
291,160
292,1
293,133
294,226
295,106
296,177
297,84
298,75
299,240
300,76
301,145
302,7
303,98
304,172
305,165
306,50
307,290
308,60
309,217
310,272
311,137
312,191
313,235
314,117
315,252
316,131
317,65
318,296
319,272
320,95
321,34
322,135
323,227
324,161
325,297
326,98
327,239
328,70
329,278
330,15
331,54
332,234
333,88
334,68
335,216
336,226
337,229
338,154
339,106
340,249
341,274
342,90
343,270
344,43
345,245
346,223
347,112
348,162
349,267
350,285
351,267
352,214
353,72
354,11
355,116
356,164
357,281
358,157
359,90
360,124
361,40
362,49
363,238
364,293
365,91
366,48
367,146
368,60
369,48
370,290
371,74
372,158
373,199
374,94
375,86
376,285
377,153
378,167
379,228
380,234
381,95
382,109
383,124
384,208
385,104
386,280
387,254
388,293
389,223
390,212
391,49
392,297
393,299
394,148
395,71
396,55
397,223
398,225
399,152
400,139
401,300
402,167
403,142
404,183
405,276
406,236
407,277
408,83
409,188
410,272
411,244
412,39
413,96
414,276
415,213
416,53
417,235
418,268
419,111
420,218
421,118
422,123
423,176
424,237
425,33
426,52
427,191
428,185
429,142
430,274
431,187
432,163
433,300
434,239
435,73
436,249
437,294
438,145
439,121
440,159
441,57
442,52
443,82
444,217
445,158
446,196
447,88
448,189
449,238
450,208
451,183
452,299
453,272
454,195
455,29
456,7
457,133
458,223
459,199
460,30
461,215
462,279
463,76
464,93
465,8
466,17
467,293
468,181
469,121
470,227
471,291
472,195
473,229
474,176
475,49
476,290
477,293
478,101
479,103
480,282
481,234
482,29
483,124
484,120
485,185
486,51
487,238
488,284
489,35
490,211
491,265
492,64
493,67
494,17
495,216
496,19
497,181
498,299
499,223
500,205
501,69
502,265
503,165
504,217
505,183
506,66
507,135
508,162
509,269
510,287
511,79
512,192
513,30
514,75
515,252
516,203
517,35
518,252
519,222
520,89
521,109
522,178
523,233
524,188
525,259
526,284
527,279
528,69
529,254
530,143
531,172
532,173
533,48
534,120
535,199
536,177
537,62
538,162
539,43
540,283
541,46
542,253
543,285
544,13
545,261
546,3
547,155
548,201
549,174
550,149
551,219
552,150
553,86
554,57
555,170
556,60
557,239
558,107
559,132
560,92
561,194
562,27
563,77
564,75
565,105
566,117
567,262
568,13
569,266
570,193
571,181
572,206
573,22
574,134
575,276
576,84
577,25
578,282
579,90
580,60
581,85
582,264
583,52
584,142
585,100
586,134
587,176
588,293
589,171
590,211
591,206
592,93
593,58
594,67
595,172
596,141
597,219
598,276
599,57
600,88
601,298
602,103
603,209
604,133
605,178
606,46
607,78
608,267
609,14
610,297
611,103
612,166
613,110
614,52
615,168
616,230
617,265
618,212
619,163
620,109
621,95
622,77
623,199
624,196
625,294
626,166
627,287
628,19
629,173
630,79
631,115
632,123
633,188
634,142
635,5
636,121
637,4
638,153
639,85
640,196
641,72
642,160
643,84
644,104
645,293
646,282
647,294
648,98
649,39
650,44
651,286
652,219
653,167
654,55
655,89
656,232
657,146
658,25
659,22
660,145
661,60
662,215
663,22
664,239
665,131
666,152
667,262
668,215
669,105
670,207
671,299
672,206
673,52
674,145
675,246
676,241
677,249
678,181
679,287
680,71
681,84
682,296
683,32
684,28
685,274
686,10
687,92
688,274
689,61
690,246
691,143
692,258
693,262
694,147
695,5
696,31
697,295
698,47
699,68
700,84
701,212
702,26
703,237
704,138
705,247
706,203
707,67
708,258
709,247
710,282
711,297
712,145
713,245
714,6
715,109
716,262
717,57
718,30
719,286
720,167
721,187
722,196
723,219
724,277
725,211
726,137
727,246
728,116
729,262
730,115
731,101
732,235
733,87
734,68
735,101
736,5
737,25
738,270
739,293
740,237
741,268
742,287
743,69
744,219
745,39
746,83
747,280
748,207
749,96
750,126
751,51
752,296
753,136
754,117
755,40
756,32
757,114
758,2
759,32
760,288
761,199
762,155
763,66
764,85
765,194
766,130
767,105
768,34
769,110
770,44
771,255
772,121
773,181
774,211
775,205
776,74
777,122
778,126
779,221
780,138
781,97
782,71
783,91
784,12
785,136
786,53
787,83
788,21
789,163
790,86
791,215
792,80
793,223
794,184
795,115
796,281
797,67
798,243
799,141
800,33
801,71
802,133
803,268
804,276
805,56
806,78
807,239
808,183
809,218
810,144
811,128
812,233
813,177
814,93
815,201
816,151
817,186
818,123
819,177
820,111
821,293
822,113
823,233
824,248
825,2
826,105
827,156
828,193
829,127
830,186
831,121
832,262
833,234
834,180
835,158
836,123
837,188
838,278
839,74
840,78
841,47
842,253
843,277
844,112
845,293
846,280
847,108
848,176
849,14
850,79
851,240
852,137
853,59
854,141
855,294
856,88
857,253
858,166
859,105
860,1
861,235
862,166
863,23
864,258
865,256
866,267
867,8
868,65
869,214
870,82
871,192
872,156
873,53
874,175
875,105
876,90
877,252
878,73
879,286
880,57
881,226
882,123
883,18
884,210
885,89
886,286
887,121
888,104
889,10
890,271
891,241
892,150
893,266
894,25
895,202
896,106
897,13
898,33
899,93
900,184
901,287
902,105
903,229
904,133
905,24
906,92
907,81
908,26
909,225
910,286
911,80
912,117
913,241
914,61
915,293
916,8
917,70
918,227
919,90
920,296
921,9
922,30
923,52
924,56
925,279
926,80
927,243
928,93
929,203
930,241
931,300
932,170
933,222
934,199
935,282
936,52
937,158
938,105
939,65
940,2
941,265
942,198
943,45
944,18
945,95
946,266
947,47
948,152
949,26
950,227
951,230
952,176
953,45
954,283
955,216
956,159
957,145
958,202
959,81
960,283
961,123
962,32
963,297
964,57
965,257
966,237
967,180
968,274
969,269
970,216
971,209
972,236
973,197
974,200
975,298
976,157
977,62
978,109
979,80
980,251
981,99
982,112
983,178
984,176
985,297
986,162
987,87
988,162
989,61
990,48
991,196
992,47
993,294
994,262
995,135
996,73
997,133
998,81
999,127
1000,135
